stock_code,stockId,name,market
00010,17,HANG LUNG GROUP,SEHK
00101,162,HANG LUNG PPT,SEHK
00103,165,SHOUGANG C-NEW,SEHK
00104,167,ASIA COMM HOLD,SEHK
00105,169,ASSO INT HOTELS,SEHK
00106,170,LANDSEA MGMT,SEHK
00107,171,SICHUAN EXPRESS,SEHK
00108,174,GR LIFE STYLE,SEHK
01000,8414,BEIJING MEDIA,SEHK
01001,2337,HK SH ALLIANCE,SEHK
00009,13,KEYNE LTD,SEHK
00090,35469,PUXING ENERGY,SEHK
00092,149,CHAMPION TECH,SEHK
00093,151,ZERO FINTECH,SEHK
00094,153,GREENHEART GP,SEHK
00095,10179,LVGEM CHINA,SEHK
00096,56791,YUSEI,SEHK
00097,157,HENDERSON INV,SEHK
00098,22029,XINGFA ALUM,SEHK
00099,159,WONG'S INT'L,SEHK
00003,3,HK & CHINA GAS,SEHK
00030,44,YNBY INTL,SEHK
00031,46,CHINA AEROSPACE,SEHK
00032,47,CROSS-HAR(HOLD),SEHK
00033,19747,INTL GENIUS,SEHK
00034,49,KOWLOON DEV,SEHK
00035,51,FE CONSORT INTL,SEHK
00036,52,FE HLDGS INTL,SEHK
00037,53,FE HOTELS,SEHK
00038,54,FIRST TRACTOR,SEHK
00020,1000127397,SENSETIME-W,SEHK
00200,354,MELCO INT'L DEV,SEHK
00201,355,MAGNIFICENT,SEHK
00202,356,EVERCHINA INT'L,SEHK
00204,359,CAPITAL REALM,SEHK
00205,365,SEEC MEDIA,SEHK
00206,34611,CM-ENERGY,SEHK
00207,369,JOY CITY PPT,SEHK
00209,374,WINSHINE SCI,SEHK
02000,9218,SIM TECH,SEHK
00007,7,WISDOM WEALTH,SEHK
00070,117,RICH GOLDMAN,SEHK
00071,118,MIRAMAR HOTEL,SEHK
00072,37985,META MEDIA,SEHK
00073,41275,ASIAN CITRUS,SEHK
00075,127,Y.T. REALTY,SEHK
00076,128,ELATE HOLDINGS,SEHK
00077,7342,AMS TRANSPORT,SEHK
00078,130,REGAL INT'L,SEHK
00079,131,CENTURY LEGEND,SEHK
00002,2,CLP HOLDINGS,SEHK
00021,32,GREAT CHI HLDGS,SEHK
00022,33,MEXAN,SEHK
00023,34,BANK OF E ASIA,SEHK
00025,36,CHEVALIER INT'L,SEHK
00026,37,CHINA MOTOR BUS,SEHK
00027,38,GALAXY ENT,SEHK
00028,41,TIAN AN,SEHK
00029,43,DYNAMIC HOLD,SEHK
00008,10,PCCW,SEHK
00080,57782,CNEWECON FUND,SEHK
00081,134,CH OVS G OCEANS,SEHK
00082,135,CRAZY SPORTS,SEHK
00083,137,SINO LAND,SEHK
00084,138,STELUX HOLDINGS,SEHK
00085,139,CE HUADA TECH,SEHK
00086,142,SUN HUNG KAI CO,SEHK
00087,143,SWIRE PACIFIC B,SEHK
00088,144,TAI CHEUNG HOLD,SEHK
00700,7609,TENCENT,SEHK
00701,1640,CNT GROUP,SEHK
00702,1641,SINO OIL & GAS,SEHK
00703,1645,FUTURE BRIGHT,SEHK
00704,1648,HUSCOKE HLDGS,SEHK
00707,10943,ATV HOLDINGS,SEHK
00708,21615,EVERG VEHICLE,SEHK
00709,1666,GIORDANO INT'L,SEHK
00050,79,HK FERRY (HOLD),SEHK
00500,1063,FRONTIER SER,SEHK
00505,20532,XINGYE ALLOY,SEHK
00506,1078,CHINA FOODS,SEHK
00508,1083,DINGYI GP INV,SEHK
00509,25471,SUNSHINE,SEHK
05000,1000225300,TFI N2605,SEHK
05001,1000225416,CMB ILM N2706,SEHK
05002,167053,CFAMC III N2711,SEHK
05003,167054,CFAMC III N4711,SEHK
00004,4,WHARF HOLDINGS,SEHK
00040,60,GOLD PEAK,SEHK
00041,61,GREAT EAGLE H,SEHK
00042,62,NE ELECTRIC,SEHK
00045,68,HK&S HOTELS,SEHK
00046,69,COMPUTER & TECH,SEHK
00048,110870,C AUTO INT DECO,SEHK
00400,108524,INGDAN,SEHK
00401,94967,WANJIA GROUP,SEHK
00403,806,STARLITE HOLD,SEHK
00800,1000279593,WERIDE-W,SEHK
00802,31013,CHINA E-WALLET,SEHK
00804,156578,PINESTONE,SEHK
